rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Matt Pais,False,Metromix.com,Rotten,2/5,2010-02-11,"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series."
m/0814255,Roger Ebert,True,Chicago Sun-Times,Fresh,3/4,2010-02-11,Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.
m/0814255,Rich Cline,False,Shadows on the Wall,Fresh,3/5,2010-02-11,The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.
m/0814255,Fionnuala Halligan,False,Screen International,Fresh,,2010-02-11,"Of all the players, Uma Thurman channels the Bride to deliver a Medusa the children won't easily forget when it comes to bedtime."
m/0814255,Matthew Turner,False,ViewLondon,Fresh,3/5,2010-02-11,"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work."
m/0814255,Peter Debruge,True,Variety,Fresh,,2010-02-11,"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour."
m/0814255,Diva Velez,False,TheDivaReview.com,Rotten,2.5/5,2010-02-12,The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.
m/0814255,Christopher Smith,False,Bangor Daily News (Maine),Rotten,C,2010-02-12,"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours."
m/0814255,Brian Tallerico,False,Movie Retriever,Rotten,,2010-02-12,"Young viewers probably will be entertained but even they are likely to realize that this could have and should have been better, especially by the time they're old enough to drive."
m/0814255,Walter Chaw,False,Film Freak Central,Rotten,1/4,2010-02-12,It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.
m/0814255,Nick Starkey,False,Premiere Magazine,Rotten,1/4,2010-02-12,Whew boy.
m/0814255,Jenna Busch,False,Newsarama,Rotten,5.5/10,2010-02-12,My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids)
m/0814255,Kurt Loder,False,MTV,Rotten,1/5,2010-02-12,Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.
m/0814255,David Frese,False,Kansas City Star,Rotten,2/4,2010-02-12,"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat."
m/0814255,Amy Biancolli,True,Houston Chronicle,Fresh,3/4,2010-02-12,Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.
m/0814255,Rick Groen,True,Globe and Mail,Rotten,2/4,2010-02-12,"Dutifully Potteresque it begins, and dutifully Potteresque it ends."
m/0814255,Adam Markovitz,True,Entertainment Weekly,Rotten,C+,2010-02-12,"Has all the CGI sorcery of a Harry Potter pic, but none of the magic."
m/0814255,Pete Hammond,False,Boxoffice Magazine,Rotten,2.5/5,2010-02-12,Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.
m/0814255,Tom Long,True,Detroit News,Rotten,D+,2010-02-12,"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake."
m/0814255,Carrie R. Wheadon,False,Common Sense Media,Rotten,2/5,2010-02-12,Too scary for younger fans of the popular book.
m/0814255,Andrea Chase,False,Killer Movie Reviews,Fresh,3/5,2010-02-12,The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor
m/0814255,Daniel M. Kimmel,False,North Shore Movies,Fresh,3.5/5,2010-02-12,"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better."
m/0814255,Thomas Leupp,False,Hollywood.com,Rotten,2/5,2010-02-12,"Sorry Mr. Jackson, but Harry Potter you ain't."
m/0814255,Brian Orndorf,False,BrianOrndorf.com,Rotten,C,2010-02-12,"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic."
m/0814255,Steven D. Greydanus,False,Decent Films Guide,Fresh,B-,2010-02-12,Harry Potter meets Clash of the Titans … The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.
m/0814255,Willie Waffle,False,WaffleMovies.com,Rotten,1.5/4,2010-02-12,"While winning the award for longest movie title, it is a film that only goes through the motions."
m/0814255,Sonny Bunch,False,Washington Times,Fresh,2.5/4,2010-02-12,Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.
m/0814255,Drew McWeeny,False,HitFix,Fresh,,2010-02-12,"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently."
m/0814255,Marshall Fine,False,Hollywood & Fine,Rotten,,2010-02-12,It's not awful. It's just not particularly inspired. Something tells me this movie won't be inspiring a sequel anytime soon.
m/0814255,Jim Judy,False,Screen It!,Fresh,,2010-02-12,Parental Content Review
m/0814255,Michael O'Sullivan,True,Washington Post,Rotten,2/4,2010-02-12,"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs."
m/0814255,Lou Lumenick,True,New York Post,Rotten,2/4,2010-02-12,"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects."
m/0814255,Rafer Guzman,True,Newsday,Rotten,,2010-02-12,"Likable as Percy may be, it's not lightning he's stolen."
m/0814255,Tom Maurstad,True,Dallas Morning News,Fresh,3/5,2010-02-12,This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.
m/0814255,Frank Swietek,False,One Guy's Opinion,Rotten,C,2010-02-12,"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable."
m/0814255,Sandra Hall,True,Sydney Morning Herald,Rotten,3/5,2010-02-12,All you have at the end of it is an enervating feeling of deja vu.
m/0814255,Carrie Rickey,True,Philadelphia Inquirer,Fresh,2.5/4,2010-02-12,"Like its stars, the film is genial good company."
m/0814255,Helen O'Hara,False,Empire Magazine,Fresh,3/5,2010-02-12,It's apparent that Potter may at last have a worthy successor.
m/0814255,Linda Barnard,True,Toronto Star,Rotten,2.5/4,2010-02-12,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans."
m/0814255,Chris Hewitt,False,St. Paul Pioneer Press,Fresh,3/4,2010-02-12,"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo."
m/0814255,Sara Michelle Fetters,False,MovieFreak.com,Fresh,2.5/4,2010-02-12,"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking."
m/0814255,,False,National Post,Rotten,2.5/4,2010-02-12,
m/0814255,S.T. VanAirsdale,False,Movieline,Fresh,6.5/10,2010-02-12,Lerman has a presence even with a mouth full of bad dialogue.
m/0814255,Tony Medley,False,tonymedley.com,Rotten,3/10,2010-02-12,This film is replete with plot holes.
m/0814255,Peter Bradshaw,True,Guardian,Rotten,2/5,2010-02-12,Some moments of inspired silliness save this escapist adventure from complete dullness.
m/0814255,Marc Savlov,False,Austin Chronicle,Rotten,1.5/5,2010-02-12,"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever."
m/0814255,David Nusair,False,Reel Film Reviews,Fresh,3/4,2010-02-13,...an agreeable fantasy adventure that should leave fans of the genre satisfied.
m/0814255,Jen Yamato,False,Movies.com,Rotten,2.5/5,2010-02-13,"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter."
m/0814255,Michelle Alexandria,False,Eclipse Magazine,Fresh,B-,2010-02-13,"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!"
m/0814255,Rubin Safaya,False,Cinemalogue,Rotten,C-,2010-02-13,"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods..."
m/0814255,Fred Topel,False,Syfy Wire,Fresh,,2010-02-14,"It would be an easy slam review. But if you like big pretty toy commercials, it's plenty of fun."
m/0814255,Giles Hardie,True,Sydney Morning Herald,Fresh,3/5,2010-02-14,"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults."
m/0814255,Todd Gilchrist,False,H Magazine,Rotten,,2010-02-16,"there's not one single thing in it that will appeal to a person who has ever seen a mythological origin story before, much less any other sort of adventure movie."
m/0814255,Jackie K. Cooper,False,jackiekcooper.com,Rotten,4/10,2010-02-16,So trite and ludicrous it is no threat to the Harry Potter franchise
m/0814255,Robin Clifford,False,Reeling Reviews,Rotten,C+,2010-02-16,...an attempt to replicate the phenomenon that is Harry Potter.
m/0814255,A.O. Scott,True,At the Movies,Fresh,,2010-02-16,I thought it was mischievous and witty and amusing and I was just sort of drawn into it.
m/0814255,Christopher Tookey,False,Daily Mail (UK),Rotten,1/5,2010-02-16,"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic."
m/0814255,Grant Lauchlan,False,Daily Record (UK),Fresh,4/5,2010-02-16,"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive."
m/0814255,Graham Young,False,Birmingham Post,Fresh,4/5,2010-02-16,"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers."
m/0814255,Mark Pfeiffer,False,Reel Times: Reflections on Cinema,Rotten,C+,2010-02-16,Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.
